order_id,restaurant_id,created_at,ready_at,rest_lat,rest_lon,dest_lat,dest_lon
0,18,2025-07-03 08:01:28,2025-07-03 08:14:02.125897,24.129757249663964,-110.3260996926197,24.15349763640367,-110.3105111196343
1,12,2025-07-03 08:01:26,2025-07-03 08:14:10.748443,24.13606215242494,-110.30316785172027,24.1548484467177,-110.30788841255284
2,10,2025-07-03 08:03:46,2025-07-03 08:15:06.728199,24.12870702630924,-110.30876028032769,24.15147757484456,-110.30365147643579
3,22,2025-07-03 08:03:08,2025-07-03 08:14:39.208999,24.143559551633576,-110.31639608759541,24.1491500937653,-110.29861042569917
4,13,2025-07-03 08:03:35,2025-07-03 08:16:10.504946,24.15330283405793,-110.30570255351144,24.133049615918054,-110.3351405555438
5,24,2025-07-03 08:04:10,2025-07-03 08:14:39.344243,24.143344266977373,-110.32429533970864,24.133037227352133,-110.30459422126867
6,9,2025-07-03 08:04:13,2025-07-03 08:17:34.421894,24.13279946124491,-110.334300735468,24.147480375431712,-110.30373953562422
7,14,2025-07-03 08:04:59,2025-07-03 08:12:24.506922,24.132262700913728,-110.31434040863132,24.133201570218898,-110.3341305507079
8,5,2025-07-03 08:05:48,2025-07-03 08:21:29.194478,24.130001301331625,-110.31344065895067,24.133929442327222,-110.33109208067303
9,12,2025-07-03 08:06:06,2025-07-03 08:18:26.151232,24.13606215242494,-110.30316785172027,24.139045737272394,-110.3269066416099
10,18,2025-07-03 08:06:51,2025-07-03 08:18:38.357424,24.129757249663964,-110.3260996926197,24.144746784311902,-110.31082394692824
11,8,2025-07-03 08:06:37,2025-07-03 08:20:20.306653,24.15259908166223,-110.30825453740323,24.133305751141624,-110.30672802321251
12,11,2025-07-03 08:07:10,2025-07-03 08:18:24.592471,24.12995881161404,-110.31879250857044,24.14906368246766,-110.31519348682737
13,14,2025-07-03 08:07:06,2025-07-03 08:16:38.483114,24.132262700913728,-110.31434040863132,24.151635142390482,-110.30963452811297
14,9,2025-07-03 08:07:19,2025-07-03 08:15:52.842320,24.13279946124491,-110.334300735468,24.15266307465369,-110.30858775079572
15,1,2025-07-03 08:08:39,2025-07-03 08:23:30.682650,24.13658235520722,-110.33102065323403,24.137693027138884,-110.30180659729444
16,9,2025-07-03 08:09:51,2025-07-03 08:21:35.902621,24.13279946124491,-110.334300735468,24.150950802422187,-110.31613677170886
17,17,2025-07-03 08:09:01,2025-07-03 08:20:12.222256,24.135354453581208,-110.32489245271628,24.14227391226361,-110.29976168565271
18,19,2025-07-03 08:09:14,2025-07-03 08:23:30.987780,24.148091201362583,-110.31362111203336,24.132249291774237,-110.3264269120848
19,14,2025-07-03 08:09:24,2025-07-03 08:19:07.468012,24.132262700913728,-110.31434040863132,24.150053180731547,-110.30238244751445
20,4,2025-07-03 08:10:19,2025-07-03 08:18:46.735084,24.13422896833917,-110.33145781642267,24.150858989580804,-110.31468530102474
21,15,2025-07-03 08:10:45,2025-07-03 08:18:00.276955,24.14561399848231,-110.29541368441066,24.13544360012126,-110.31299528157021
22,7,2025-07-03 08:10:02,2025-07-03 08:21:32.132525,24.153876190724386,-110.30820413700494,24.130185788816448,-110.31125493235112
23,1,2025-07-03 08:10:50,2025-07-03 08:22:37.855298,24.13658235520722,-110.33102065323403,24.131247076392842,-110.30752191653403
24,1,2025-07-03 08:10:40,2025-07-03 08:21:38.519775,24.13658235520722,-110.33102065323403,24.137013512888924,-110.30693960970497
25,4,2025-07-03 08:11:27,2025-07-03 08:22:05.854353,24.13422896833917,-110.33145781642267,24.152288487536257,-110.30972237139468
26,17,2025-07-03 08:11:55,2025-07-03 08:19:04.251946,24.135354453581208,-110.32489245271628,24.15512507403932,-110.30785642122225
27,9,2025-07-03 08:11:22,2025-07-03 08:18:25.062074,24.13279946124491,-110.334300735468,24.127484303649698,-110.31084099574328
28,9,2025-07-03 08:11:17,2025-07-03 08:19:08.570766,24.13279946124491,-110.334300735468,24.152640527531727,-110.30958701732605
29,9,2025-07-03 08:12:08,2025-07-03 08:23:01.731137,24.13279946124491,-110.334300735468,24.13362188673427,-110.30556794938408
30,23,2025-07-03 08:12:42,2025-07-03 08:21:03.755360,24.155843933981828,-110.30716561000334,24.12877439874578,-110.31516171850886
31,24,2025-07-03 08:13:02,2025-07-03 08:26:09.329871,24.143344266977373,-110.32429533970864,24.140038245377607,-110.30397674249468
32,4,2025-07-03 08:13:43,2025-07-03 08:29:24.641418,24.13422896833917,-110.33145781642267,24.140240755383676,-110.30890024157564
33,4,2025-07-03 08:14:20,2025-07-03 08:25:56.048711,24.13422896833917,-110.33145781642267,24.133731071093102,-110.31256070288052
34,1,2025-07-03 08:14:16,2025-07-03 08:22:59.922081,24.13658235520722,-110.33102065323403,24.147639684496745,-110.31110734600908
35,23,2025-07-03 08:14:16,2025-07-03 08:27:57.163725,24.155843933981828,-110.30716561000334,24.129969580629982,-110.32306828274439
36,9,2025-07-03 08:14:12,2025-07-03 08:25:38.362615,24.13279946124491,-110.334300735468,24.151962883153487,-110.31348348995674
37,8,2025-07-03 08:15:15,2025-07-03 08:28:11.035541,24.15259908166223,-110.30825453740323,24.13304575598699,-110.3233148489417
38,6,2025-07-03 08:15:37,2025-07-03 08:23:15.442976,24.130978557381912,-110.31292629548302,24.14546003600702,-110.30060681900143
39,7,2025-07-03 08:16:10,2025-07-03 08:28:56.088173,24.153876190724386,-110.30820413700494,24.131922135349544,-110.32338114009454
40,16,2025-07-03 08:17:06,2025-07-03 08:28:25.030873,24.151192684172834,-110.30925996405952,24.13698641750151,-110.33062141724959
41,2,2025-07-03 08:18:33,2025-07-03 08:32:36.749876,24.13610949313301,-110.30993670781926,24.138231983801155,-110.33003432562643
42,13,2025-07-03 08:18:37,2025-07-03 08:36:19.683400,24.15330283405793,-110.30570255351144,24.138396763578147,-110.3293164875359
43,15,2025-07-03 08:19:09,2025-07-03 08:29:20.849650,24.14561399848231,-110.29541368441066,24.142251401320856,-110.32203787042363
44,23,2025-07-03 08:19:42,2025-07-03 08:32:54.744502,24.155843933981828,-110.30716561000334,24.13711098118715,-110.32247876085535
45,10,2025-07-03 08:19:04,2025-07-03 08:32:22.116724,24.12870702630924,-110.30876028032769,24.152209670752377,-110.31612844745857
46,20,2025-07-03 08:19:15,2025-07-03 08:29:23.237023,24.130635873713434,-110.30683833289118,24.152282502891648,-110.30498229679625
47,10,2025-07-03 08:19:51,2025-07-03 08:30:00.554937,24.12870702630924,-110.30876028032769,24.149000072707544,-110.30930947805432
48,24,2025-07-03 08:19:55,2025-07-03 08:31:45.630121,24.143344266977373,-110.32429533970864,24.14139568742597,-110.29941006279125
49,15,2025-07-03 08:20:50,2025-07-03 08:27:24.828859,24.14561399848231,-110.29541368441066,24.139365533081538,-110.32093916258937
50,13,2025-07-03 08:20:49,2025-07-03 08:36:25.876603,24.15330283405793,-110.30570255351144,24.140034815239478,-110.32753395824423
51,8,2025-07-03 08:20:19,2025-07-03 08:35:59.836673,24.15259908166223,-110.30825453740323,24.13777392674875,-110.31884633663414
52,21,2025-07-03 08:20:26,2025-07-03 08:26:55.841694,24.145503354156382,-110.29673940340766,24.14846026475272,-110.3190673576182
53,21,2025-07-03 08:20:38,2025-07-03 08:32:58.380103,24.145503354156382,-110.29673940340766,24.128455052975543,-110.31857793070672
54,18,2025-07-03 08:20:39,2025-07-03 08:31:09.326480,24.129757249663964,-110.3260996926197,24.14646676761338,-110.31396286874681
55,7,2025-07-03 08:21:19,2025-07-03 08:35:26.109930,24.153876190724386,-110.30820413700494,24.131540735720947,-110.32053879690865
56,4,2025-07-03 08:21:25,2025-07-03 08:36:25.560674,24.13422896833917,-110.33145781642267,24.147939075575245,-110.30272396883583
57,5,2025-07-03 08:21:53,2025-07-03 08:30:59.117572,24.130001301331625,-110.31344065895067,24.148171072234582,-110.30136257086475
58,0,2025-07-03 08:22:45,2025-07-03 08:37:23.831676,24.14965516776462,-110.30550503080288,24.13295423724312,-110.32699502100873
59,21,2025-07-03 08:22:44,2025-07-03 08:37:09.483872,24.145503354156382,-110.29673940340766,24.131238833754544,-110.31564460384426
60,18,2025-07-03 08:22:04,2025-07-03 08:35:19.970826,24.129757249663964,-110.3260996926197,24.15126235070943,-110.30634368372247
61,23,2025-07-03 08:24:28,2025-07-03 08:37:07.683395,24.155843933981828,-110.30716561000334,24.13958217993607,-110.31981100337927
62,0,2025-07-03 08:24:33,2025-07-03 08:37:26.963421,24.14965516776462,-110.30550503080288,24.132181035811325,-110.31516747410211
63,7,2025-07-03 08:25:39,2025-07-03 08:38:06.326113,24.153876190724386,-110.30820413700494,24.13278722890705,-110.31644066828572
64,0,2025-07-03 08:25:40,2025-07-03 08:38:40.358846,24.14965516776462,-110.30550503080288,24.12706445952582,-110.31853185419834
65,9,2025-07-03 08:25:26,2025-07-03 08:37:23.648467,24.13279946124491,-110.334300735468,24.144769475468898,-110.30599753103992
66,11,2025-07-03 08:25:39,2025-07-03 08:42:34.994601,24.12995881161404,-110.31879250857044,24.151277645313098,-110.31292927000733
67,9,2025-07-03 08:26:23,2025-07-03 08:39:08.143833,24.13279946124491,-110.334300735468,24.14633115026009,-110.31425168473322
68,19,2025-07-03 08:26:41,2025-07-03 08:40:16.343742,24.148091201362583,-110.31362111203336,24.127306231833085,-110.3114956734447
69,1,2025-07-03 08:27:00,2025-07-03 08:39:55.966527,24.13658235520722,-110.33102065323403,24.141912916371513,-110.30918053540333
70,19,2025-07-03 08:27:54,2025-07-03 08:40:12.246070,24.148091201362583,-110.31362111203336,24.129683053699175,-110.32023828823709
71,7,2025-07-03 08:28:59,2025-07-03 08:45:22.982341,24.153876190724386,-110.30820413700494,24.13172803174651,-110.314876101042
72,18,2025-07-03 08:28:08,2025-07-03 08:44:16.570107,24.129757249663964,-110.3260996926197,24.152987441543388,-110.30686571757471
73,17,2025-07-03 08:28:50,2025-07-03 08:42:59.987694,24.135354453581208,-110.32489245271628,24.145705008132207,-110.29952306804026
74,13,2025-07-03 08:28:29,2025-07-03 08:41:09.962952,24.15330283405793,-110.30570255351144,24.130280834434664,-110.31899850022636
75,23,2025-07-03 08:28:10,2025-07-03 08:40:20.219433,24.155843933981828,-110.30716561000334,24.136738699893453,-110.31107409620864
76,12,2025-07-03 08:30:07,2025-07-03 08:45:56.914518,24.13606215242494,-110.30316785172027,24.128361741636372,-110.32278374995553
77,10,2025-07-03 08:30:43,2025-07-03 08:43:26.025785,24.12870702630924,-110.30876028032769,24.154705846273867,-110.31066168857146
78,9,2025-07-03 08:30:22,2025-07-03 08:46:15.989790,24.13279946124491,-110.334300735468,24.146049699704797,-110.32005857168926
79,13,2025-07-03 08:30:10,2025-07-03 08:40:56.934078,24.15330283405793,-110.30570255351144,24.143332591048384,-110.3225805919571
80,16,2025-07-03 08:31:43,2025-07-03 08:44:39.286616,24.151192684172834,-110.30925996405952,24.138558285627393,-110.32646250449683
81,21,2025-07-03 08:32:51,2025-07-03 08:46:43.544773,24.145503354156382,-110.29673940340766,24.136658364263376,-110.31525666890188
82,11,2025-07-03 08:33:21,2025-07-03 08:46:18.093770,24.12995881161404,-110.31879250857044,24.153174960059992,-110.30521077200791
83,10,2025-07-03 08:33:50,2025-07-03 08:40:11.675094,24.12870702630924,-110.30876028032769,24.146088850403903,-110.32015567384865
84,0,2025-07-03 08:33:50,2025-07-03 08:48:28.491948,24.14965516776462,-110.30550503080288,24.133134700230755,-110.32243492737472
85,9,2025-07-03 08:34:58,2025-07-03 08:44:41.974682,24.13279946124491,-110.334300735468,24.1427941817,-110.31169924192302
86,18,2025-07-03 08:35:08,2025-07-03 08:50:56.981682,24.129757249663964,-110.3260996926197,24.143562414686762,-110.30705207627902
87,9,2025-07-03 08:35:14,2025-07-03 08:47:27.486856,24.13279946124491,-110.334300735468,24.125909131562583,-110.31528256742614
88,21,2025-07-03 08:36:00,2025-07-03 08:50:03.900891,24.145503354156382,-110.29673940340766,24.140290731750593,-110.31979529715272
89,8,2025-07-03 08:36:46,2025-07-03 08:49:07.699688,24.15259908166223,-110.30825453740323,24.12868608434268,-110.31722132008838
90,21,2025-07-03 08:36:43,2025-07-03 08:46:53.462718,24.145503354156382,-110.29673940340766,24.140696972775537,-110.31767539824453
