order_id,status,placement_time,ready_time,pickup_time,delivery_time,click_to_door,ready_to_pickup,courier_id,bundle_size,routing_source
0,delivered,2025-07-03 08:00:27,2025-07-03 08:07:49.633562,2025-07-03 08:25:15.811293,2025-07-03 08:29:16.700,28.828333333333333,17.436295516666668,23,2,osrm
1,delivered,2025-07-03 08:00:54,2025-07-03 08:14:41.583669,2025-07-03 08:15:28.400000,2025-07-03 08:19:27.700,18.561666666666667,0.7802721833333333,14,1,osrm
2,delivered,2025-07-03 08:00:46,2025-07-03 08:07:17.760955,2025-07-03 08:10:31.300000,2025-07-03 08:12:55.300,12.155,3.22565075,3,1,osrm
3,delivered,2025-07-03 08:00:27,2025-07-03 08:10:52.315366,2025-07-03 08:15:28.400000,2025-07-03 08:18:35.800,18.146666666666665,4.601410566666667,13,1,osrm
4,delivered,2025-07-03 08:01:25,2025-07-03 08:15:14.175270,2025-07-03 08:24:52.600000,2025-07-03 08:30:25.600,29.009999999999998,9.640412166666666,6,2,osrm
5,delivered,2025-07-03 08:01:30,2025-07-03 08:10:18.697662,2025-07-03 08:10:28.700000,2025-07-03 08:13:32.300,12.038333333333332,0.16670563333333333,6,1,osrm
6,delivered,2025-07-03 08:01:19,2025-07-03 08:09:42.566510,2025-07-03 08:13:28.100000,2025-07-03 08:18:21.200,17.03666666666667,3.7588915,1,1,osrm
7,delivered,2025-07-03 08:04:48,2025-07-03 08:16:28.246782,2025-07-03 08:24:52.600000,2025-07-03 08:30:25.600,25.626666666666665,8.405886966666667,6,2,osrm
8,delivered,2025-07-03 08:04:39,2025-07-03 08:14:13.373907,2025-07-03 08:16:15.100000,2025-07-03 08:20:05.300,15.438333333333333,2.0287682166666667,16,1,osrm
9,delivered,2025-07-03 08:04:33,2025-07-03 08:19:00.385977,2025-07-03 08:20:08.300000,2025-07-03 08:22:58.400,18.423333333333336,1.1319003833333334,9,2,osrm
10,delivered,2025-07-03 08:06:16,2025-07-03 08:21:17.942606,2025-07-03 08:43:23.810793,2025-07-03 08:46:23.200,40.12,22.097803116666668,22,4,osrm
11,delivered,2025-07-03 08:07:45,2025-07-03 08:20:17.014333,2025-07-03 08:25:21.700000,2025-07-03 08:29:58.500,22.225,5.07809445,3,1,osrm
12,delivered,2025-07-03 08:07:20,2025-07-03 08:22:21.076862,2025-07-03 08:39:47.200000,2025-07-03 08:44:54.900,37.58166666666667,17.435385633333333,3,3,osrm
13,delivered,2025-07-03 08:08:20,2025-07-03 08:17:37.364654,2025-07-03 08:20:08.300000,2025-07-03 08:22:58.400,14.639999999999999,2.5155891,9,2,osrm
14,delivered,2025-07-03 08:09:37,2025-07-03 08:24:25.829502,2025-07-03 08:30:17.900000,2025-07-03 08:33:51.100,24.235,5.867841633333333,13,1,osrm
15,delivered,2025-07-03 08:11:49,2025-07-03 08:20:15.742823,2025-07-03 08:20:15.742823,2025-07-03 08:21:59.700,10.178333333333335,0.0,27,1,osrm
16,delivered,2025-07-03 08:11:25,2025-07-03 08:18:28.005964,2025-07-03 08:39:41.969157,2025-07-03 08:40:22.000,28.95,21.232719883333335,2,3,osrm
17,delivered,2025-07-03 08:11:36,2025-07-03 08:22:07.852258,2025-07-03 08:24:24.700000,2025-07-03 08:27:13.600,15.626666666666667,2.2807957,17,1,osrm
18,delivered,2025-07-03 08:12:36,2025-07-03 08:25:15.811293,2025-07-03 08:25:15.811293,2025-07-03 08:29:16.700,16.678333333333335,0.0,23,2,osrm
19,delivered,2025-07-03 08:13:06,2025-07-03 08:23:17.070108,2025-07-03 08:25:46.600000,2025-07-03 08:29:58.400,16.87333333333333,2.4921648666666667,22,1,osrm
20,delivered,2025-07-03 08:13:34,2025-07-03 08:29:37.099283,2025-07-03 08:39:41.969157,2025-07-03 08:40:22.000,26.8,10.081164566666667,2,3,osrm
21,delivered,2025-07-03 08:14:16,2025-07-03 08:28:18.978334,2025-07-03 08:50:05.200000,2025-07-03 09:01:47.000,47.516666666666666,21.7703611,1,4,osrm
22,delivered,2025-07-03 08:14:52,2025-07-03 08:26:42.850875,2025-07-03 08:48:49.000000,2025-07-03 08:58:27.000,43.583333333333336,22.102485416666664,16,4,osrm
23,delivered,2025-07-03 08:15:34,2025-07-03 08:28:01.578136,2025-07-03 08:53:14.697992,2025-07-03 08:52:27.400,36.89,25.218664266666668,8,3,osrm
24,delivered,2025-07-03 08:17:22,2025-07-03 08:31:59.464930,2025-07-03 08:34:45.700000,2025-07-03 08:37:21.900,19.998333333333335,2.7705845,9,1,osrm
25,delivered,2025-07-03 08:18:18,2025-07-03 08:36:08.934440,2025-07-03 08:39:38.100000,2025-07-03 08:43:37.600,25.326666666666664,3.4860926666666665,5,2,osrm
26,delivered,2025-07-03 08:18:14,2025-07-03 08:30:49.669477,2025-07-03 08:37:22.300000,2025-07-03 08:40:24.600,22.176666666666666,6.543842049999999,24,1,osrm
27,delivered,2025-07-03 08:18:39,2025-07-03 08:30:25.643032,2025-07-03 08:30:25.643032,2025-07-03 08:35:14.600,16.593333333333334,0.0,25,2,osrm
28,delivered,2025-07-03 08:19:12,2025-07-03 08:29:44.784455,2025-07-03 08:39:47.200000,2025-07-03 08:44:54.900,25.715,10.040259083333332,3,3,osrm
29,delivered,2025-07-03 08:19:47,2025-07-03 08:27:43.049567,2025-07-03 08:46:33.067540,2025-07-03 08:52:06.300,32.321666666666665,18.833632883333333,21,3,osrm
30,delivered,2025-07-03 08:19:22,2025-07-03 08:29:04.447562,2025-07-03 08:39:38.100000,2025-07-03 08:43:37.600,24.259999999999998,10.560873966666666,5,2,osrm
31,delivered,2025-07-03 08:20:20,2025-07-03 08:27:32.389666,2025-07-03 08:43:24.900000,2025-07-03 08:50:45.400,30.423333333333336,15.875172233333332,13,4,osrm
32,delivered,2025-07-03 08:21:06,2025-07-03 08:33:19.260410,2025-07-03 08:46:33.067540,2025-07-03 08:52:06.300,31.005,13.230118833333334,21,3,osrm
33,delivered,2025-07-03 08:21:28,2025-07-03 08:35:12.213442,2025-07-03 08:43:23.810793,2025-07-03 08:46:23.200,24.92,8.193289183333333,22,4,osrm
34,delivered,2025-07-03 08:21:16,2025-07-03 08:36:05.539804,2025-07-03 08:58:03.337164,2025-07-03 09:02:18.800,41.04666666666667,21.963289333333332,3,4,osrm
35,delivered,2025-07-03 08:21:36,2025-07-03 08:30:27.486625,2025-07-03 08:55:48.856598,2025-07-03 08:59:58.100,38.36833333333333,25.35616621666667,23,4,osrm
36,delivered,2025-07-03 08:21:43,2025-07-03 08:33:37.230425,2025-07-03 08:34:31.300000,2025-07-03 08:37:29.100,15.768333333333334,0.9011595833333333,19,1,osrm
37,delivered,2025-07-03 08:21:58,2025-07-03 08:39:10.785687,2025-07-03 09:01:38.439358,2025-07-03 09:12:23.400,50.42333333333333,22.460894516666666,22,4,osrm
38,delivered,2025-07-03 08:21:13,2025-07-03 08:28:01.350560,2025-07-03 08:30:25.643032,2025-07-03 08:35:14.600,14.026666666666667,2.4048745333333335,25,2,osrm
39,delivered,2025-07-03 08:22:22,2025-07-03 08:33:43.008266,2025-07-03 08:55:46.917040,2025-07-03 09:02:56.200,40.57,22.065146233333333,2,3,osrm
40,delivered,2025-07-03 08:22:21,2025-07-03 08:33:22.815181,2025-07-03 08:53:14.697992,2025-07-03 08:52:27.400,30.10666666666667,19.864713516666665,8,3,osrm
41,delivered,2025-07-03 08:23:01,2025-07-03 08:32:30.808723,2025-07-03 08:49:40.208598,2025-07-03 08:55:58.000,32.95,17.156664583333335,24,3,osrm
42,delivered,2025-07-03 08:23:59,2025-07-03 08:34:27.680906,2025-07-03 08:50:05.200000,2025-07-03 09:01:47.000,37.8,15.625318233333333,1,4,osrm
43,delivered,2025-07-03 08:23:43,2025-07-03 08:39:41.969157,2025-07-03 08:39:41.969157,2025-07-03 08:40:22.000,16.65,0.0,2,3,osrm
44,delivered,2025-07-03 08:24:15,2025-07-03 08:36:20.760723,2025-07-03 08:56:51.410871,2025-07-03 09:04:44.600,40.49333333333333,20.5108358,14,4,osrm
45,delivered,2025-07-03 08:24:33,2025-07-03 08:32:53.741863,2025-07-03 08:43:24.900000,2025-07-03 08:50:45.400,26.206666666666667,10.519302283333333,13,4,osrm
46,delivered,2025-07-03 08:25:06,2025-07-03 08:36:53.949015,2025-07-03 08:48:49.000000,2025-07-03 08:58:27.000,33.35,11.917516416666667,16,4,osrm
47,delivered,2025-07-03 08:25:38,2025-07-03 08:35:30.168549,2025-07-03 09:01:38.439358,2025-07-03 09:12:23.400,46.75666666666667,26.13784681666667,22,4,osrm
48,delivered,2025-07-03 08:26:12,2025-07-03 08:38:22.534039,2025-07-03 09:04:02.538556,2025-07-03 09:12:34.200,46.37,25.666741950000002,7,4,osrm
49,delivered,2025-07-03 08:26:02,2025-07-03 08:36:53.337460,2025-07-03 09:00:44.966750,2025-07-03 09:09:35.600,43.559999999999995,23.860488166666666,25,4,osrm
50,delivered,2025-07-03 08:27:19,2025-07-03 08:38:12.895893,2025-07-03 08:43:24.900000,2025-07-03 08:50:45.400,23.44,5.20006845,13,4,osrm
51,delivered,2025-07-03 08:27:23,2025-07-03 08:36:21.371372,2025-07-03 08:43:23.810793,2025-07-03 08:46:23.200,19.003333333333334,7.040657016666667,22,4,osrm
52,delivered,2025-07-03 08:28:17,2025-07-03 08:37:02.235961,2025-07-03 08:49:40.208598,2025-07-03 08:55:58.000,27.683333333333334,12.632877283333332,24,3,osrm
