courier_id,orders_delivered,total_distance_km,shift_duration_hours,bundles_picked_up,driving_time_minutes
1,26,30.2155,12.469202148333334,26,73.73833333333332
2,11,17.5545,12.469202148333334,11,44.493333333333325
3,20,25.123,12.469202148333334,20,59.58166666666667
4,25,25.8108,12.469202148333334,25,61.74666666666666
5,17,18.737800000000004,12.469202148333334,17,49.86333333333333
6,18,17.831199999999995,12.469202148333334,18,41.11833333333333
7,22,23.188100000000006,12.469202148333334,22,53.76000000000001
8,11,16.621100000000002,12.469202148333334,11,37.726666666666674
9,27,28.799899999999997,12.469202148333334,27,71.23333333333335
10,24,23.836999999999996,12.469202148333334,24,59.69499999999999
11,22,26.103400000000004,12.469202148333334,22,60.36
12,23,21.9816,12.469202148333334,23,54.598333333333336
13,19,23.5035,12.469202148333334,19,53.72
14,11,15.384800000000002,12.469202148333334,11,35.913333333333334
15,30,29.066499999999998,12.469202148333334,30,76.385
16,21,19.278199999999995,12.469202148333334,21,48.739999999999995
17,4,7.0199,12.469202148333334,4,15.241666666666667
18,20,25.094399999999997,12.469202148333334,20,66.13999999999999
19,27,30.242200000000008,12.469202148333334,27,73.87833333333333
20,23,23.0961,12.469202148333334,23,50.11
21,8,11.4591,12.469202148333334,8,28.541666666666668
22,25,27.6382,12.469202148333334,25,65.26666666666665
23,22,26.277100000000004,12.469202148333334,22,69.54666666666665
24,18,16.5611,12.469202148333334,18,42.423333333333325
25,23,27.651700000000005,12.469202148333334,23,65.005
26,4,5.6967,12.469202148333334,4,11.02
27,21,24.665299999999995,12.469202148333334,21,58.38000000000002
28,18,18.334,12.469202148333334,18,45.36333333333334
29,21,29.225,12.469202148333334,21,79.76999999999998
30,17,17.1973,12.469202148333334,17,42.46333333333333
31,24,27.472500000000004,12.469202148333334,24,69.81666666666666
32,12,14.149499999999998,12.469202148333334,12,37.52333333333333
33,9,10.331,12.469202148333334,9,22.986666666666665
34,12,15.6602,12.469202148333334,12,35.464999999999996
35,5,9.090599999999998,12.469202148333334,5,21.908333333333335
36,22,26.685999999999993,12.469202148333334,22,70.88833333333335
37,25,28.94439999999999,12.469202148333334,25,68.84333333333333
38,9,12.9878,12.469202148333334,9,33.90666666666667
39,18,20.301799999999997,12.469202148333334,18,47.21833333333333
40,25,27.079500000000003,12.469202148333334,25,63.84999999999998
41,13,15.3687,12.469202148333334,13,35.291666666666664
42,16,19.417099999999998,12.469202148333334,16,45.975
43,25,26.1136,12.469202148333334,25,58.378333333333345
44,14,17.758200000000002,12.469202148333334,14,41.873333333333335
45,20,21.9436,12.469202148333334,20,51.45666666666667
46,9,9.8188,12.469202148333334,9,22.378333333333334
47,15,17.4162,12.469202148333334,15,38.54833333333334
48,15,14.6547,12.469202148333334,15,37.14666666666666
49,24,23.4532,12.469202148333334,24,59.061666666666675
50,6,10.204699999999999,12.469202148333334,6,24.824999999999996
51,18,22.6933,12.469202148333334,18,56.70000000000001
52,21,20.5193,12.469202148333334,21,49.361666666666665
53,23,22.870500000000003,12.469202148333334,23,61.49833333333333
54,15,19.5925,12.469202148333334,15,42.68333333333333
55,18,19.490399999999998,12.469202148333334,18,50.00833333333332
56,17,17.0568,12.469202148333334,17,41.41000000000001
57,13,14.2483,12.469202148333334,13,34.22666666666667
58,17,17.2259,12.469202148333334,17,38.106666666666676
