courier_id,orders_delivered,total_distance_km,shift_duration_hours,bundles_picked_up,driving_time_minutes
1,44,254.74719999999505,12.586814865277779,44,410.2316666665833
2,47,244.196399999994,12.586814865277779,47,393.5833333332
3,45,253.99699999999208,12.586814865277779,45,398.97499999994994
4,45,254.422499999998,12.586814865277779,45,399.80499999989996
5,45,257.43879999999797,12.586814865277779,45,412.8916666666167
6,46,249.68229999999804,12.586814865277779,46,399.86999999993327
7,46,241.75259999999702,12.586814865277779,46,388.09499999990004
8,46,255.91949999999605,12.586814865277779,46,397.08333333325004
9,47,253.22199999999702,12.586814865277779,47,408.17666666656663
10,45,252.75399999999908,12.586814865277779,45,403.01166666663323
11,46,260.013299999994,12.586814865277779,46,410.58999999990016
12,46,245.57189999999204,12.586814865277779,46,408.30666666655003
13,45,247.36149999999805,12.586814865277779,45,400.24666666656657
14,44,256.192999999998,12.586814865277779,44,405.59999999991675
15,46,267.090899999998,12.586814865277779,46,417.3849999999834
16,46,249.18709999999692,12.586814865277779,46,403.9849999999168
17,47,252.1636,12.586814865277779,47,408.2633333333
18,45,262.666099999995,12.586814865277779,45,414.5649999999335
19,45,246.960799999999,12.586814865277779,45,400.57999999995
