Scenario,Orders,Couriers,Ratio,FCFS Avg CTD (min),FCFS P50 CTD (min),FCFS P90 CTD (min),FCFS P95 CTD (min),FCFS Avg RTP (min),FCFS P90 RTP (min),FCFS Avg RTD (min),FCFS P90 RTD (min),FCFS % Undelivered,FCFS SLA Compliance (%),FCFS Avg Bundle Size,FCFS % Multi-Bundle,FCFS Total Distance (km),FCFS Dist/Order (km),FCFS Orders/Courier/Hr,FCFS Bundles/Hr,FCFS Utilization (%),FCFS Total Compensation ($),FCFS Cost/Order ($),FCFS Frac. Min Comp,FCFS CTD Overage (min),RH Avg CTD (min),RH P50 CTD (min),RH P90 CTD (min),RH P95 CTD (min),RH Avg RTP (min),RH P90 RTP (min),RH Avg RTD (min),RH P90 RTD (min),RH % Undelivered,RH SLA Compliance (%),RH Avg Bundle Size,RH % Multi-Bundle,RH Total Distance (km),RH Dist/Order (km),RH Orders/Courier/Hr,RH Bundles/Hr,RH Utilization (%),RH Total Compensation ($),RH Cost/Order ($),RH Frac. Min Comp,RH CTD Overage (min),Δ% Avg CTD (min),Δ% P50 CTD (min),Δ% P90 CTD (min),Δ% P95 CTD (min),Δ% Avg RTP (min),Δ% P90 RTP (min),Δ% Avg RTD (min),Δ% P90 RTD (min),Δ% % Undelivered,Δ% SLA Compliance (%),Δ% Avg Bundle Size,Δ% % Multi-Bundle,Δ% Total Distance (km),Δ% Dist/Order (km),Δ% Orders/Courier/Hr,Δ% Bundles/Hr,Δ% Utilization (%),Δ% Total Compensation ($),Δ% Cost/Order ($),Δ% Frac. Min Comp,Δ% CTD Overage (min),FCFS Time (s),RH Time (s)
S1 – Baja (18:1),1038,58,17.9,9.59,9.48,12.13,12.91,0.08,0.0,-2.49,2.08,0.0,100.0,1.0,0.0,4362.07,4.2,1.44,1.44,16.97,11639.29,11.21,0.59,0.0,19.86,18.49,29.78,33.54,4.38,13.66,7.78,18.23,0.0,99.33,1.77,46.05,4706.82,4.32,1.51,1.06,19.41,12124.1,11.13,0.5,0.01,107.09,95.04,145.51,159.8,5375.0,0.0,412.45,776.44,0.0,-0.67,77.0,0.0,7.9,2.86,4.86,-26.39,14.38,4.17,-0.71,-15.25,0.0,51.9,2684.3
S2 – Moderada (26:1),1038,40,25.9,17.07,10.36,30.61,70.08,6.37,14.75,4.99,17.47,0.0,91.04,1.0,0.0,4769.8,4.6,2.08,2.08,26.57,10380.0,10.0,0.0,3.55,22.59,20.3,35.09,38.37,6.45,17.59,10.51,23.25,0.0,97.5,2.27,61.08,4177.16,3.9,2.15,1.28,25.04,10707.04,10.01,0.03,0.08,32.34,95.95,14.64,-45.25,1.26,19.25,110.62,33.09,0.0,7.1,127.0,0.0,-12.42,-15.22,3.37,-38.46,-5.76,3.15,0.1,0.0,-97.75,28.1,773.5
S3 – Media (35:1),1038,30,34.6,36.07,11.46,120.69,157.64,24.37,103.32,23.99,106.48,0.0,76.69,1.0,0.0,5074.29,4.89,2.77,2.77,37.4,10380.0,10.0,0.0,17.91,24.77,21.99,38.7,43.37,8.87,23.38,12.69,26.86,0.0,92.1,2.67,71.97,3819.55,3.55,2.88,1.45,30.34,10770.0,10.0,0.0,0.61,-31.33,91.88,-67.93,-72.49,-63.6,-77.37,-47.1,-74.77,0.0,20.09,167.0,0.0,-24.73,-27.4,3.97,-47.65,-18.88,3.76,0.0,0.0,-96.59,31.5,545.6
S4 – Alta (52:1),1038,20,51.9,76.13,16.37,223.73,294.88,63.17,206.93,64.0,210.18,13.29,60.78,1.0,0.0,4844.01,5.38,3.61,3.61,52.68,9000.0,10.0,0.0,52.65,30.93,25.82,50.75,62.7,14.07,32.94,18.85,38.25,0.0,79.0,3.07,81.02,3343.76,3.1,4.33,1.84,39.64,10790.0,10.0,0.0,3.97,-59.37,57.73,-77.32,-78.74,-77.73,-84.08,-70.55,-81.8,-100.0,29.98,207.0,0.0,-30.97,-42.38,19.94,-49.03,-24.75,19.89,0.0,0.0,-92.46,34.8,565.6
S1 – Baja (18:1),1042,58,18.0,10.46,10.23,14.03,15.03,0.18,0.03,-1.42,3.71,0.0,100.0,1.0,0.0,4849.07,4.65,1.45,1.45,19.07,11980.63,11.5,0.53,0.0,20.27,18.57,32.28,35.22,4.89,15.51,8.39,20.15,0.0,99.23,1.8,43.19,5389.56,4.93,1.52,1.08,22.28,12039.08,11.01,0.59,0.02,93.79,81.52,130.08,134.33,2616.67,51600.0,690.85,443.13,0.0,-0.77,80.0,0.0,11.15,6.02,4.83,-25.52,16.83,0.49,-4.26,11.32,0.0,52.1,2846.8
S2 – Moderada (26:1),1042,41,25.4,16.99,10.91,34.31,64.44,5.83,17.53,5.11,22.19,0.0,91.94,1.0,0.0,5168.55,4.96,2.05,2.05,28.34,10442.3,10.02,0.05,2.89,21.96,19.94,34.67,37.79,6.34,18.42,10.08,23.17,0.0,97.22,2.25,57.01,4856.76,4.44,2.15,1.31,28.38,11150.75,10.19,0.12,0.06,29.25,82.77,1.05,-41.36,8.75,5.08,97.26,4.42,0.0,5.74,125.0,0.0,-6.03,-10.48,4.88,-36.1,0.14,6.78,1.7,140.0,-97.92,28.4,918.2
S3 – Media (35:1),1042,30,34.7,37.62,11.94,125.51,162.87,25.62,111.27,25.74,114.78,0.0,76.3,1.0,0.0,5472.09,5.25,2.8,2.8,40.61,10420.0,10.0,0.0,19.04,24.82,21.98,39.43,42.72,8.81,22.73,12.94,27.28,0.0,91.36,2.64,71.5,4247.78,3.9,2.93,1.49,33.89,10890.0,10.0,0.0,0.54,-34.02,84.09,-68.58,-73.77,-65.61,-79.57,-49.73,-76.23,0.0,19.74,164.0,0.0,-22.37,-25.71,4.64,-46.79,-16.55,4.51,0.0,0.0,-97.16,30.7,719.7
S4 – Alta (52:1),1042,21,49.6,80.65,14.51,280.13,329.84,67.94,268.92,68.78,272.45,11.42,62.08,1.0,0.0,5124.56,5.55,3.54,3.54,53.52,9230.0,10.0,0.0,57.95,29.43,25.37,45.96,58.66,12.58,29.07,17.54,33.63,0.0,84.17,3.06,82.44,3587.44,3.34,4.12,1.74,40.88,10750.0,10.0,0.0,2.61,-63.51,74.84,-83.59,-82.22,-81.48,-89.19,-74.5,-87.66,-100.0,35.58,206.0,0.0,-30.0,-39.82,16.38,-50.85,-23.62,16.47,0.0,0.0,-95.5,34.3,648.2
S1 – Baja (18:1),1014,57,17.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2
S2 – Moderada (26:1),1014,39,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1
S3 – Media (35:1),1014,29,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1
S4 – Alta (52:1),1014,20,50.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1
S1 – Baja (18:1),1012,57,17.8,10.26,10.16,13.27,14.14,0.13,0.0,-1.68,3.22,0.0,100.0,1.0,0.0,4719.61,4.66,1.43,1.43,18.27,11692.97,11.55,0.58,0.0,20.61,18.96,31.5,35.08,5.19,15.13,8.67,20.14,0.0,99.51,1.84,49.51,4957.91,4.65,1.5,1.03,20.59,12039.46,11.28,0.54,0.01,100.88,86.61,137.38,148.09,3892.31,0.0,616.07,525.47,0.0,-0.49,84.0,0.0,5.05,-0.21,4.9,-27.97,12.7,2.96,-2.34,-6.9,0.0,50.0,2606.0
S2 – Moderada (26:1),1012,39,25.9,19.63,11.0,49.31,85.36,8.34,32.88,7.69,35.27,0.0,88.44,1.0,0.0,5027.86,4.97,2.08,2.08,28.29,10120.0,10.0,0.0,4.64,22.87,20.82,35.81,38.25,6.84,18.42,10.93,23.5,0.0,97.33,2.4,64.33,4358.36,4.14,2.17,1.22,26.52,10580.27,10.05,0.08,0.08,16.51,89.27,-27.38,-55.19,-17.99,-43.98,42.13,-33.37,0.0,10.05,140.0,0.0,-13.32,-16.7,4.33,-41.35,-6.26,4.55,0.5,0.0,-98.28,28.7,800.5
S3 – Media (35:1),1012,29,34.9,39.66,12.28,130.72,156.52,27.56,116.69,27.72,120.26,0.0,74.41,1.0,0.0,5203.22,5.14,2.8,2.8,39.29,10120.0,10.0,0.0,20.46,26.45,23.3,41.31,45.5,9.92,23.61,14.51,29.27,0.0,88.04,2.78,72.73,3971.97,3.75,2.93,1.43,32.63,10590.0,10.0,0.0,1.25,-33.31,89.74,-68.4,-70.93,-64.01,-79.77,-47.66,-75.66,0.0,18.32,178.0,0.0,-23.66,-27.04,4.64,-48.93,-16.95,4.64,0.0,0.0,-93.89,31.1,674.4
