Scenario,Orders,Couriers,Ratio,FCFS Avg CTD (min),RH Avg CTD (min),Δ% Avg CTD (min),FCFS Cost/Order ($),RH Cost/Order ($),Δ% Cost/Order ($),FCFS Orders/Courier/Hr,RH Orders/Courier/Hr,Δ% Orders/Courier/Hr,FCFS Utilization (%),RH Utilization (%),Δ% Utilization (%),FCFS SLA Compliance (%),RH SLA Compliance (%),Δ% SLA Compliance (%),FCFS Dist/Order (km),RH Dist/Order (km),Δ% Dist/Order (km)
S1 – Baja (18:1),1038,58,17.9,9.59,19.86,107.09,11.21,11.13,-0.71,1.44,1.51,4.86,16.97,19.41,14.38,100.0,99.33,-0.67,4.2,4.32,2.86
S2 – Moderada (26:1),1038,40,25.9,17.07,22.59,32.34,10.0,10.01,0.1,2.08,2.15,3.37,26.57,25.04,-5.76,91.04,97.5,7.1,4.6,3.9,-15.22
S3 – Media (35:1),1038,30,34.6,36.07,24.77,-31.33,10.0,10.0,0.0,2.77,2.88,3.97,37.4,30.34,-18.88,76.69,92.1,20.09,4.89,3.55,-27.4
S4 – Alta (52:1),1038,20,51.9,76.13,30.93,-59.37,10.0,10.0,0.0,3.61,4.33,19.94,52.68,39.64,-24.75,60.78,79.0,29.98,5.38,3.1,-42.38
S1 – Baja (18:1),1042,58,18.0,10.46,20.27,93.79,11.5,11.01,-4.26,1.45,1.52,4.83,19.07,22.28,16.83,100.0,99.23,-0.77,4.65,4.93,6.02
S2 – Moderada (26:1),1042,41,25.4,16.99,21.96,29.25,10.02,10.19,1.7,2.05,2.15,4.88,28.34,28.38,0.14,91.94,97.22,5.74,4.96,4.44,-10.48
S3 – Media (35:1),1042,30,34.7,37.62,24.82,-34.02,10.0,10.0,0.0,2.8,2.93,4.64,40.61,33.89,-16.55,76.3,91.36,19.74,5.25,3.9,-25.71
S4 – Alta (52:1),1042,21,49.6,80.65,29.43,-63.51,10.0,10.0,0.0,3.54,4.12,16.38,53.52,40.88,-23.62,62.08,84.17,35.58,5.55,3.34,-39.82
S1 – Baja (18:1),1014,57,17.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S2 – Moderada (26:1),1014,39,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S3 – Media (35:1),1014,29,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
