courier_id,orders_delivered,total_distance_km,shift_duration_hours,bundles_picked_up,driving_time_minutes
1,107,251.093599999991,12.469202148333334,33,432.1849999999
2,96,237.12489999999798,12.469202148333334,29,417.43333333326655
3,100,232.26569999999495,12.469202148333334,33,420.79166666659995
4,102,224.40119999999504,12.469202148333334,34,406.2733333332501
5,104,229.30249999999498,12.469202148333334,34,425.7066666665334
6,103,233.023699999996,12.469202148333334,34,420.3766666665168
7,99,225.10259999999295,12.469202148333334,33,411.68166666651666
8,100,240.87029999998705,12.469202148333334,30,429.43999999984993
9,95,219.427299999995,12.469202148333334,29,407.7683333333001
10,115,241.80869999999396,12.469202148333334,35,435.25499999988335
11,112,250.11529999999397,12.469202148333334,35,438.92999999994987
12,106,221.19839999999704,12.469202148333334,34,406.31166666658316
13,121,244.06979999999302,12.469202148333334,34,433.58833333321667
14,106,234.76039999999904,12.469202148333334,35,422.26499999989994
15,103,230.50339999999392,12.469202148333334,32,411.71833333328334
16,103,243.43699999999606,12.469202148333334,33,433.7466666665168
17,100,233.15149999999497,12.469202148333334,33,410.3433333332832
18,111,243.21239999999503,12.469202148333334,35,422.5899999999334
19,105,243.53529999999603,12.469202148333334,32,428.49333333325006
20,108,246.30819999999602,12.469202148333334,33,426.90999999988327
