courier_id,orders_delivered,total_distance_km,shift_duration_hours,bundles_picked_up,driving_time_minutes
1,38,182.7085,12.409966188055556,38,302.9983333333333
2,38,184.01780000000002,12.409966188055556,38,309.4516666666667
3,39,196.84049999999993,12.409966188055556,39,332.61
4,38,201.44039999999995,12.409966188055556,38,333.3
5,36,192.90609999999995,12.409966188055556,36,315.74
6,33,174.2115,12.409966188055556,33,289.945
7,35,174.67059999999998,12.409966188055556,35,298.92
8,30,166.41939999999997,12.409966188055556,30,284.51500000000004
9,31,168.48859999999996,12.409966188055556,31,290.1566666666667
10,28,154.9631,12.409966188055556,28,260.4833333333334
11,35,173.2815,12.409966188055556,35,295.6783333333334
12,30,169.53589999999994,12.409966188055556,30,279.665
13,33,176.00369999999998,12.409966188055556,33,294.23333333333335
14,38,190.95639999999997,12.409966188055556,38,319.05
15,33,166.0209,12.409966188055556,33,279.4516666666666
16,29,158.4589,12.409966188055556,29,258.59000000000003
17,32,189.0571,12.409966188055556,32,298.41833333333324
18,36,200.2743000000001,12.409966188055556,36,322.35166666666663
19,36,194.3052,12.409966188055556,36,307.70166666666665
20,37,188.0426,12.409966188055556,37,301.9016666666667
21,37,181.84859999999995,12.409966188055556,37,313.94666666666666
22,34,175.5349,12.409966188055556,34,300.3133333333333
23,37,192.13590000000002,12.409966188055556,37,310.8616666666667
24,37,179.3389,12.409966188055556,37,296.8916666666666
25,36,186.33189999999996,12.409966188055556,36,306.60999999999996
26,38,199.41199999999995,12.409966188055556,38,317.1950000000001
27,35,185.27910000000003,12.409966188055556,35,318.1066666666666
28,33,184.3766,12.409966188055556,33,301.6866666666666
29,36,188.4509,12.409966188055556,36,314.38499999999993
30,34,188.90699999999998,12.409966188055556,34,303.36999999999995
